date,sessions,bounces,orders,revenue
2018-06-14,"1,041",28,6,3456.50
2018-06-15,754,23,1,2321.45
2018-06-16,733,26,0,1106.80
2018-06-17,"1,172",32,5,1735.00
2018-06-18,"1,248",19,6,3316.85
2018-06-19,"1,164",37,4,5966.90
2018-06-20,"1,105",30,6,4044.80
2018-06-21,"1,050",28,3,2442.75
2018-06-22,983,27,7,1735.20
2018-06-23,936,24,1,715.90
2018-06-24,"1,325",50,4,1925.50
2018-06-25,"1,148",27,12,3112.20
2018-06-26,"1,003",36,2,4149.45
2018-06-27,971,26,3,3208.65
2018-06-28,783,14,4,2480.60
2018-06-29,843,27,4,2433.80
2018-06-30,798,26,1,915.20
2018-07-01,"1,063",33,3,1492.20
2018-07-02,"1,141",44,7,3054.45
2018-07-03,983,28,3,4203.80
2018-07-04,973,25,7,2575.10
2018-07-05,873,24,2,4104.30
2018-07-06,871,24,5,2371.75
2018-07-07,744,23,2,1103.00
2018-07-08,763,23,8,2492.75
2018-07-09,900,18,6,4086.25
2018-07-10,904,19,6,4943.70
2018-07-11,873,19,2,2980.00
2018-07-12,712,16,6,2488.45
2018-07-13,798,27,5,1272.80
2018-07-14,649,15,1,1521.75
2018-07-15,906,40,1,2093.25
2018-07-16,982,38,3,3030.30
2018-07-17,"1,042",31,7,4828.65
2018-07-18,"1,035",34,7,3595.65
2018-07-19,908,25,4,2309.00
2018-07-20,750,26,2,2863.30
2018-07-21,603,22,0,1246.00
2018-07-22,809,21,1,2040.00
2018-07-23,902,28,4,2972.70
2018-07-24,873,24,1,4728.30
2018-07-25,798,14,2,3414.70
2018-07-26,814,26,4,3490.40
2018-07-27,686,14,2,1438.80
2018-07-28,565,14,2,2009.00
2018-07-29,727,17,1,1580.80
2018-07-30,873,30,4,4622.90
2018-07-31,776,19,3,4426.60
2018-08-01,819,27,5,4151.25
2018-08-02,745,32,7,2659.30
2018-08-03,675,21,2,2322.30
2018-08-04,585,14,1,1390.00
2018-08-05,793,19,6,3543.55
2018-08-06,"1,000",25,8,6344.55
2018-08-07,864,11,5,3777.40
2018-08-08,731,19,4,4009.50
2018-08-09,627,28,2,2999.35
2018-08-10,608,24,0,2841.60
2018-08-11,541,13,2,1612.60
2018-08-12,578,13,0,2160.30
2018-08-13,702,24,3,4024.20
2018-08-14,732,25,2,1692.40
2018-08-15,844,23,3,3182.85
2018-08-16,805,22,8,1878.20
2018-08-17,685,19,1,2095.80
2018-08-18,574,22,0,1338.10
2018-08-19,722,15,2,3162.55
2018-08-20,741,18,2,3957.00
2018-08-21,764,19,8,3636.00
2018-08-22,704,15,6,3238.00
2018-08-23,718,25,6,3130.10
2018-08-24,645,20,3,1254.40
2018-08-25,593,17,1,2280.70
2018-08-26,714,14,3,1763.50
2018-08-27,850,29,3,2515.35
2018-08-28,800,35,5,4190.75
2018-08-29,681,17,3,2316.90
2018-08-30,807,26,4,2887.45
2018-08-31,711,19,1,1766.60
2018-09-01,738,16,4,1241.50
2018-09-02,925,25,2,2413.40
2018-09-03,938,15,4,4477.25
2018-09-04,847,18,6,3579.10
2018-09-05,839,20,0,2622.15
2018-09-06,713,10,0,1776.80
2018-09-07,881,21,4,2038.00
2018-09-08,669,18,2,691.00
2018-09-09,908,20,1,3143.35
2018-09-10,951,23,5,4104.75
2018-09-11,920,23,5,5151.20
2018-09-12,795,11,1,5637.00
2018-09-13,706,13,1,2564.55
2018-09-14,699,11,3,2196.90
2018-09-15,645,15,1,1516.70
2018-09-16,683,7,3,1306.00
2018-09-17,815,11,2,1652.90
2018-09-18,839,10,2,2774.20
2018-09-19,758,15,2,1412.60
2018-09-20,663,12,0,2420.65
2018-09-21,615,13,3,1201.60
2018-09-22,605,12,0,930.80
2018-09-23,800,25,1,1965.20
2018-09-24,706,12,2,2845.50
2018-09-25,701,19,8,3077.30
2018-09-26,578,16,1,2291.00
2018-09-27,517,7,1,1609.70
2018-09-28,494,5,1,1481.60
2018-09-29,495,12,2,459.75
2018-09-30,577,16,3,1889.90
2018-10-01,674,18,3,2329.90
